dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label
bike_sharing,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),106.11823272705078,0.5886577367782593,True,baseline,knn_x,kNN(X)
bike_sharing,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,51.13068389892578,0.28363147377967834,True,baseline,mlkr_knn,MLKR+kNN
bike_sharing,kfold,4,4,mlp,MLP,baseline,MLP,44.00297546386719,0.24409273266792297,True,baseline,mlp,MLP
bike_sharing,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),105.04025268554688,0.5816353559494019,True,baseline,knn_x,kNN(X)
bike_sharing,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,52.563140869140625,0.2910558879375458,True,baseline,mlkr_knn,MLKR+kNN
bike_sharing,kfold,5,5,mlp,MLP,baseline,MLP,44.16618728637695,0.24455976486206055,True,baseline,mlp,MLP
wine,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),0.6385934352874756,0.7284492254257202,True,baseline,knn_x,kNN(X)
wine,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.6158143877983093,0.7024649381637573,True,baseline,mlkr_knn,MLKR+kNN
wine,kfold,1,1,mlp,MLP,baseline,MLP,0.6580846309661865,0.7506829500198364,True,baseline,mlp,MLP
wine,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),0.6361997723579407,0.7285360097885132,True,baseline,knn_x,kNN(X)
wine,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.6197049617767334,0.7096472382545471,True,baseline,mlkr_knn,MLKR+kNN
wine,kfold,2,2,mlp,MLP,baseline,MLP,0.6735358238220215,0.7712908387184143,True,baseline,mlp,MLP
wine,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),0.6321917772293091,0.7248392701148987,True,baseline,knn_x,kNN(X)
wine,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.5999162197113037,0.6878337264060974,True,baseline,mlkr_knn,MLKR+kNN
wine,kfold,3,3,mlp,MLP,baseline,MLP,0.6649134159088135,0.762356162071228,True,baseline,mlp,MLP
wine,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),0.6403266191482544,0.7355069518089294,True,baseline,knn_x,kNN(X)
