dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label,resume_source
wine,kfold,2,2,mlp,MLP,baseline,MLP,0.6505964398384094,0.7434831857681274,True,baseline,mlp,MLP,
wine,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),0.6719257831573486,0.7775418162345886,True,baseline,knn_x,kNN(X),
wine,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.6450467705726624,0.7464378476142883,True,baseline,mlkr_knn,MLKR+kNN,
wine,kfold,3,3,mlp,MLP,baseline,MLP,0.7047151923179626,0.8154851794242859,True,baseline,mlp,MLP,
wine,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),0.6147282719612122,0.6971699595451355,True,baseline,knn_x,kNN(X),
wine,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.5960057377815247,0.6759365200996399,True,baseline,mlkr_knn,MLKR+kNN,
wine,kfold,4,4,mlp,MLP,baseline,MLP,0.6555521488189697,0.7434687614440918,True,baseline,mlp,MLP,
wine,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),0.6196780800819397,0.7048017978668213,True,baseline,knn_x,kNN(X),
wine,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.593202531337738,0.6746892929077148,True,baseline,mlkr_knn,MLKR+kNN,
wine,kfold,5,5,mlp,MLP,baseline,MLP,0.6476652026176453,0.7366334795951843,True,baseline,mlp,MLP,
califonia_housing,kfold,1,1,softmax,NN-kNN (softmax),pure,pure,0.5913028717041016,0.512503981590271,True,nnknn,softmax:pure,NN-kNN (softmax) - pure,checkpoint
califonia_housing,kfold,1,1,softmax,NN-kNN (softmax),adaptation,adaptation,0.547999382019043,0.47497129440307617,True,nnknn,softmax:adaptation,NN-kNN (softmax) - adaptation,checkpoint
califonia_housing,kfold,1,1,softmax_locality,NN-kNN (softmax) + locality,locality,locality,0.6647776365280151,0.5761873126029968,True,nnknn,softmax_locality:locality,NN-kNN (softmax) + locality - locality,checkpoint
califonia_housing,kfold,1,1,softmax_locality,NN-kNN (softmax) + locality,locality + adaptation,locality + adaptation,1.244280219078064,1.0784635543823242,True,nnknn,softmax_locality:locality + adaptation,NN-kNN (softmax) + locality - locality + adaptation,checkpoint
califonia_housing,kfold,1,1,sparsemax,NN-kNN (sparsemax),pure,pure,0.44783666729927063,0.38815656304359436,True,nnknn,sparsemax:pure,NN-kNN (sparsemax) - pure,checkpoint
califonia_housing,kfold,1,1,sparsemax,NN-kNN (sparsemax),adaptation,adaptation,0.4482894539833069,0.38854900002479553,True,nnknn,sparsemax:adaptation,NN-kNN (sparsemax) - adaptation,checkpoint
